Question,Answer
Number of Son's of Prohpet PBUH?,3
Elder Son of Prohpet PBUH ?,Hazrat Qasim
Middle Son of Prohpet PBUH ?,Hazrat Abdullah
Younger Son of Prohpet PBUH ?,Hazrat Ibrahim
Number of Daughter's of Prohpet PBUH?,4
Hazrat Ruqayya was nth Daughter of Prohpet PBUH?,2
Hazrat Fatima was nth Daughter of Prohpet PBUH?,4
Hazrat Zaniab was nth Daughter of Prohpet PBUH?,1
Hazrat Umm Kulthum was nth Daughter of Prohpet PBUH?,3     
First Daughter of Prohpet PBUH was?,Hazrat Zaniab
Third Daughter of Prohpet PBUH was?,Umm Kulthum 
Fourth Daughter of Prohpet PBUH ?,Hazrat Fatima
Second Daughter of Prohpet PBUH ?,Hazrat Ruqayya
Number of Grandson(Nawasay) of Prohpet PBUH?,5
Name of All Grandson of  Prohpet PBUH?, Hasan Husayn Muhsin Abdullah Ali
Muhsin Hasan Husayn is the child of which Daughter of Prohpet ?, Fatima bint Muhammad
Abdullah is the child of which Daughter of Prohpet ?, Ruqayya bint Muhammad
Ali is the child of which Daughter of Prohpet ? Zaniab bint Muhammad